idindikator,IDTer,nTer,mes,god,vrednost,idJedinicaMere,nJedinicaMere,nIzvorI,Indikator,IDStatusPodatka,nStatusPodatka
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2010,67.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2011,67.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2012,73.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2013,73.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2014,74,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2015,75.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2022,84.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2023,85.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2016,80.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2017,80.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2018,82.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2019,83.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2020,84.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS,РЕПУБЛИКА СРБИЈА,00,2021,84.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2010,80.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2011,76.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2012,85.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2013,83.7,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2014,81.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2015,83.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2022,91.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2023,90.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2016,84,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2017,85.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2018,89,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2019,84,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2020,89.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS11,Београдски регион,00,2021,88.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2010,61.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2011,64.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2012,75.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2013,73.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2014,70.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2015,71.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2022,81.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2023,88.7,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2016,80.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2017,81.7,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2018,83.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2019,91,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2020,86.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS12,Регион Војводине,00,2021,84,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2010,58.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2011,59.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2012,60.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2013,63.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2014,70.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2015,70.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2022,79.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2023,75.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2016,78.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2017,76.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2018,75.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2019,78.9,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2020,75.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS21,Регион Шумадије и Западне Србије,00,2021,78.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2010,57.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2011,57.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2012,58.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2013,60.7,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2014,66.6,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2015,68.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2022,80.2,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2023,78.1,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2016,76.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2017,71.8,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2018,74.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2019,75.4,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2020,80.5,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
270307IND03,RS22,Регион Јужне и Источне Србије,00,2021,84.3,PC,%,РЗС,Предузећа која имају веб сајт, по регионима,A,Коначан податак
